,timestamp,pilot,target,shiptype,module_or_ammo,dmg,hit_quality
1331,2023-02-23 16:36:24,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,210,Hits
1332,2023-02-23 16:36:24,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,204,Hits
1333,2023-02-23 16:36:24,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,251,Penetrates
1336,2023-02-23 16:36:28,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,256,Penetrates
1337,2023-02-23 16:36:28,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,258,Penetrates
1338,2023-02-23 16:36:28,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,238,Penetrates
1339,2023-02-23 16:36:28,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,175,Hits
1340,2023-02-23 16:36:28,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,118,Grazes
1343,2023-02-23 16:36:32,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,188,Hits
1345,2023-02-23 16:36:32,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,180,Hits
1346,2023-02-23 16:36:32,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,246,Penetrates
1347,2023-02-23 16:36:32,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,165,Glances Off
1349,2023-02-23 16:36:36,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,114,Grazes
1350,2023-02-23 16:36:36,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,138,Grazes
1351,2023-02-23 16:36:36,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,274,Penetrates
1352,2023-02-23 16:36:36,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,286,Smashes
1353,2023-02-23 16:36:36,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,683,Wrecks
1357,2023-02-23 16:36:40,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,129,Grazes
1358,2023-02-23 16:36:40,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,161,Glances Off
1359,2023-02-23 16:36:40,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,275,Penetrates
1360,2023-02-23 16:36:40,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,121,Grazes
1364,2023-02-23 16:36:44,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,270,Penetrates
1365,2023-02-23 16:36:44,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,269,Penetrates
1366,2023-02-23 16:36:44,Hollindustries,Dravynea Uta,Bhaalgorn,Ogre II,268,Penetrates
