,pilot,linetext,timestamp
1225,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:08:58
1226,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:09:00
1227,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:10:37
1228,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:10:38
1229,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:12:16
1230,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:12:17
1231,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:13:54
1232,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units,2023-02-23 15:13:55
1233,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>100<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C28<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:15:33
1234,Hollindustries,(mining) <color=0x77ffffff>You mined <font size=12><color=0xffaaaa00>40<color=0x77ffffff><font size=10> units of <color=0xffffffff><font size=12>Fullerite-C32<color=0x77ffffff><font size=10> with a lost residue of <font size=12><color=0xffaaaa00>0<color=0x77ffffff><font size=10> units,2023-02-23 15:15:34
